Extensive Reading Foundation Graded Reader List																												
Cambridge U. Press					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data									Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEFR level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN C (ebook)	Audio available free online	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
CDIR3	Cambridge U. Press	Life Online: The Digital Age	O'Dell, Kathryn	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,344 				N	5	NF		Teen/adult	9781107650695					Yes				
CDIR3	Cambridge U. Press	Madagascar	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,796 				Y	4	NF		Teen/adult	9781107629400					Yes				
CDIR3	Cambridge U. Press	Magic of Music, The	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,088 				Y	4	NF		Teen/adult	9781107665583					Yes				
CDIR3	Cambridge U. Press	Medicine: Old and New	Harris, Nic	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,011 				Y	4	NF		Teen/adult	9781107658660					Yes				
CDIR3	Cambridge U. Press	Mummies and Myths	O'Dell, Kathryn	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,387 				Y	5	NF		Teen/adult	9781107688308					Yes				
CDIR3	Cambridge U. Press	On the Move: The Lives of Nomads	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,688 				N	5	NF		Teen/adult	9781107632936					Yes				
CDIR3	Cambridge U. Press	Only in America	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,381 				N	5	NF		Teen/adult	9781107637009					Yes				
CDIR3	Cambridge U. Press	Science of Darkness, The	O'Dell, Kathryn	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,425 				Y	5	NF		Teen/adult	9781107654938					Yes				
CDIR3	Cambridge U. Press	Science of Heat, The	Harris, Nic	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,881 				Y	4	NF		Teen/adult	9781107697720					Yes				
CDIR3	Cambridge U. Press	Science of Light, The	O'Dell, Kathryn	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,670 				N	5	NF		Teen/adult	9781107681989					Yes				
CDIR3	Cambridge U. Press	Shark Attack	O'Dell, Kathryn	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,445 				N	5	NF		Teen/adult	9781107661837					Yes				
CDIR3	Cambridge U. Press	Slice by Slice: The Story of Pizza	Beaver, Simon	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,804 				Y	4	NF		Teen/adult	9781107650374					Yes				
CDIR3	Cambridge U. Press	Slime: The Wonderful World of Mucus	Bourke, Kenna	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,727 				Y	4	NF		Teen/adult	9781107673434					Yes				
CDIR3	Cambridge U. Press	Sport, Game, or Hobby?	Beaver, Simon	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,975 				Y	5	NF		Teen/adult	9781107686588					Yes				
