r cabinet lighting																											
Penguin ELT					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
PAR2	Penguin	Mr. Bean	 Richard Curtis & Robin Driscoll	Penguin Active Reading	2	600 	Elementary (M)	A2	2.2-2.4	6,742 		A	52	Y	3		Contemporary	teen, adult	9781408293133	9781405884433				2008	2008	Y	formerly Penguin Readers
PAR2	Penguin	Nelson Mandela	 Coleen Degnan-Veness	Penguin Active Reading	2	600 	Elementary (M)	A2	2.2-2.4	5,416 		A	44	S	3		Original	teen, adult	9781408270127	9781405852098				2007	2007	Y	formerly Penguin Readers
PAR2	Penguin	Nightmare Before Christmas, The	 Tim Burton	Penguin Active Reading	2	600	Elementary (M)	A2	2.4-26	8,038		A	60	Y	3		Contemporary	teen, adult	9781408270134	9781405852104				2007	2007	Y	LLLA Finalist 2008
PAR2	Penguin	President of Mount Rushmore The	Fiona Beddall	Penguin Active Reading	2	600	Elementary (M)	A2	2.3	5,850		A	48	Y	3		Original	teen, adult	No Book Only	9781447954323				2014	2014	Y	
PAR2	Penguin	Round the World in Eighty Days	 Jules Verne	Penguin Active Reading	2	600 	Elementary (M)	A2	2.4-2.6	8,579		A	60	Y	3		Classic	teen, adult	9781408270141	9781405884419				2008	2008	Y	
PAR2	Penguin	Scarlet Pimpernel, The	Orczy, Baroness Emmuska	Penguin Active Reading	2	600 	Elementary (M)	A2	2.4-2.6	9,451		A	64	N	3		Classic	teen, adult	9781408293195	9781408261347				2011	2011	Y	
PAR2	Penguin	Secret Garden	Burnett, Frances Hodgson	Penguin Active Reading	2	600 	Elementary (M)	A2	2.4-2.6	9,944		A	64	Y	3		Classic	teen, adult	9781408270158	9781408209523				2009	2009	Y	formerly Penguin Readers
PAR2	Penguin	Sharks	Izabella Hearn	Penguin Active Reading	2	600 	Elementary (M)	A2	2.2-2.4	4,731		A	48	Y	3		Original	teen, adult	No Book Only	9781447954316				2014	2014	Y	LLLA FINALIST 2015
PAR2	Penguin	Stories Of Other Worlds	WELLS, H.G.	Penguin Active Reading	2	600 	Elementary (M)	A2	2.2-2.6	8,780		A	64	Y	3		Classic	teen, adult	9781408293140	9781408231999				2010	2010	Y	
PAR2	Penguin	Water for Life	 Bernard Smith	Penguin Active Reading	2	600 	Elementary (M)	A2	2.2-2.4	6,844		A	44	Y	3		Original	teen, adult	9781408229613	9781405884440				2008	2008	Y	
