Extensive Reading Foundation Graded Reader List																											
Macmillan ELT					Level Info					Wordcount / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (eBook)	ISBN D (Audiobook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
MCR4	Macmillan Publishing	Lights, Camera, Action! - On Location	Kerry Powell	Macmillan Children's Readers	4 - Starters/Movers	NA		A1+		877		A	24	N		F/NF		Children	9780230443709	N/A	N/A	N/A		2013	2013	Y	free audio download
MCR4	Macmillan Publishing	Making Music - The Talent Contest	Mark Ormerod	Macmillan Children's Readers	4 - Starters/Movers	NA		A1+		904		A	24	N		F/NF		Children	9780230404984	N/A	N/A	N/A		2011	2011	Y	free audio download
MCR4	Macmillan Publishing	New Year's Eve	Cheryl Palin	Macmillan Children's Readers	4 - Starters/Movers	NA		A1+		535		A	24	N		F		Children	9781405074124	N/A	N/A	N/A		2005	2005	Y	free audio download
MCR4	Macmillan Publishing	Riverboat Bill	Leanne Mills	Macmillan Children's Readers	4 - Starters/Movers	NA		A1+		315		A	24	N		F		Children	9781405057288	N/A	N/A	N/A		2004	2004	Y	free audio download
MCR4	Macmillan Publishing	What's That Noise?	Jade Michaels	Macmillan Children's Readers	4 - Starters/Movers	NA		A1+		341		A	24	N		F		Children	9781405057196	N/A	N/A	N/A		2005	2005	Y	free audio download
MCR5		A World of Sport - Snow Rescue	Paul Mason	Macmillan Children's Readers	5 - Movers	NA		A2		2,425		A	32	N		F/NF		Children	9780230460423	N/A	N/A	N/A		2014	2014	Y	free audio download
MCR5		Ancient Egypt - The Book of Thoth	Alex Raynham	Macmillan Children's Readers	5 - Movers	NA		A2		2,551		A	32	N		F/NF		Children	9780230460430	N/A	N/A	N/A		2014	2014	Y	free audio download
MCR5	Macmillan Publishing	Castles - King Arthur's Treasure	Howard Appleby	Macmillan Children's Readers	5 - Movers	NA		A2		1,821		A	32	N		F/NF		Children	9781405074148	N/A	N/A	N/A		2005	2005	Y	free audio download
MCR5	Macmillan Publishing	Dangerous Weather - The Weather Machine	Paul Shipton	Macmillan Children's Readers	5 - Movers	NA		A2		1,478		A	32	N		F/NF		Children	9780230010222	N/A	N/A	N/A		2007	2007	Y	free audio download
MCR5	Macmillan Publishing	London - A Day in the City	Mark Ormerod	Macmillan Children's Readers	5 - Movers	NA		A2		1,388		A	32	N		F/NF		Children	9780230010208	N/A	N/A	N/A		2007	2007	Y	free audio download
