Extensive Reading Foundation Graded Reader List																											
Macmillan ELT					Level Info					Wordcount / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (eBook)	ISBN D (Audiobook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
MMR2	Macmillan Publishing	Last Leaf & Other Stories, The	O. Henry	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	1.8-1.8	7,418		A	64	Y	4	F	Human Interest/Short Stories/Humour/Romance/Crime/Detection/Adventure/Thriller/Spy	Teen-Adult	978-1-405-07237-3	N/A	9780230437289	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Last of the Mohicans, The	James Fenimore Cooper	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	1.8-1.8	6,514		A	64	Y	4	F	Human Interest/Romance/Adventure/Thriller/Spy	Pre-Teen +	9780230034990	978-1-405-07618-0	9780230425897	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Little Women	Louisa M. Alcott	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	1.8-1.8	7,092		A	64	Y	4	F	Human Interest/Romance 	Pre-Teen +	9780230035003	978-1-405-07620-3	9780230418059	N/A		2010	2010	Y	
MMR2	Macmillan Publishing	Long Tunnel, The	John Milne	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	2,523		A	32	Y	2	F	Crime/Detection/Advenutre/Thriller/Spy	Teen	9780230030350	978-1-405-07622-7	9780230425934	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Lorna Doone 	R. D. Blackmore	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	10,453		A	64	Y	4	F	Human Interest/Romance/Crime/Detection	Pre-Teen +	978-1-405-07241-0	N/A	9780230437296	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Man in the Iron Mask, The	Alexandre Dumas	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	9,055		A	64	Y	4	F	Romance/Adventure/Thriller/Spy	Pre-Teen +	9780230030367	978-1-405-07624-1	9780230718593	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Marco 	Mike Esplen	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	2,245		A	32	Y	2	F	Human Interest/Adventure/Thriller/Spy	Pre-Teen +	9780230035010	978-1-405-07626-5	9780230425170	N/A		2007	2007	Y	
MMR2	Macmillan Publishing	Mill on the Floss, The	George Eliot	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	1.6-1.6	5,865		A	64	Y	4	F	Human Interest/Romance	Pre-Teen +	9780230035058	978-1-405-07628-9	9780230426054	N/A		2008	2008	Y	
MMR2	Macmillan Publishing	Money for a Motorbike	John Milne	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	2,200		A	32	Y	2	F	Human Interest/Adventure/Thriller/Spy	Pre-Teen +	9780230035065	978-1-405-07630-2	9780230425217	9780230425231		2005	2005	Y	
MMR2	Macmillan Publishing	Newspaper Boy	John Escott	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	2,240		A	32	Y	2	F	Short Stories/Crime/Detection/Adventure/Thriller/Spy	Pre-Teen +	978-1-405-07245-8	N/A	9780230437418	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Northanger Abbey	Jane Austen	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	1.8-1.8	7,337		A	64	Y	4	F	Human Interest/Romance	Pre-Teen +	9780230035072	978-1-405-07632-6	9780230724587	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Phantom of the Opera, The	Gaston Leroux	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	8,264		A	64	Y	4	F	Mystery/Horror/Ghost/Romance	Teen-Adult	9780230030343	978-1-405-07634-0	9780230426016	9780230426030		2005	2005	Y	
MMR2	Macmillan Publishing	Picture Puzzle	John Escott	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.2-1.2	2,776		A	32	Y	2	F	Romance/Adventure/Thriller/Spy	Pre-Teen +	978-1-405-07248-9	N/A	9780230437449	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Princess Diana 	Anne Collins	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	10,115		A	64	Y	2	NF	History/Romance/Human Interest	Teen 	9780230716513	978-0-2307-1653-7	9780230416284	9780230416246		2009	2009	Y	
MMR2	Macmillan Publishing	Prisoner of Zenda, The	Anthony Hope	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	9,567		A	64	Y	4	F	Romance/Adventure/Thriller/Spy	Pre-Teen +	978-1-405-07250-2	N/A	N/A	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Rich Man, Poor Man	T. C. Jupp	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	2,871		A	32	Y	2	F	Human Interest 	Teen -Adult 	9781405076364	978-1-405-07636-4	9780230425255	9780230425279		2005	2005	Y	
MMR2	Macmillan Publishing	Signalman and Ghost at the Trial, The	Charles Dickens	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	10,374		A	64	Y	4	F	Short Stories/Mystery/Horror/Ghost	Teen-Adult	978-1-405-07249-6	N/A	9780230437470	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Tale of Two Cities, A	Charles Dickens	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	1.8-1.8	6,751		A	64	Y	4	F	Human Interest/Romance/Adventure/Spy	Pre-Teen +	9780230035089	978-1-405-07606-7	9780230425026	9780230425019		2008	2008	Y	
MMR2	Macmillan Publishing	This is Cambridge		Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	2,000		E	40	Y (Heinemann)	4	NF	Travel/Background	Pre-Teen +	978-0-4352-7185-5	N/A	N/A	N/A		1995	1995	N	
MMR2	Macmillan Publishing	This is London	Philip Prowse	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	2,473		A	40	Y	2	NF	Travel/Background	Pre-Teen +	9780230035096	978-1-405-08711-7	9780230425972	N/A		2008	2008	Y	
MMR2	Macmillan Publishing	This is Oxford		Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	1,500		E	40	Y	2	NF	Travel/Background	Pre-Teen +	978-0-4352-7184-8	N/A	N/A	N/A		1995	1995	N	
MMR2	Macmillan Publishing	This is San Francisco		Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	2,800		E	40	N	4	NF	Travel/Background	Pre-Teen +	978-0-4352-7179-4	N/A	N/A	N/A		1992	1992	N	
MMR2	Macmillan Publishing	Three Musketeers, The	Alexandre Dumas	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	9,412		A	72	Y	4	F	Adventure/Romance/History	Pre-Teen/Teen	9780230716735	978-0-2307-1673-5	9780230416376	9780230416369		2009	2009	Y	
MMR2	Macmillan Publishing	Trumpet-Major, The	Thomas Hardy	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	10,724		A	64	Y	4	F	Human Interest/Romance 	Teen-Adult	978-1-405-07253-3	N/A	9780230725652	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Truth Machine, The	Norman Whitney	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	2,272		A	32	Y	2	F	Human Interest/Mystery/Horror/Ghost/Science Fiction/Fantasy	Teen	978-1-405-07254-0	N/A	9780230437531	N/A		2005	2005	Y	
MMR2		Wall, The	Stephen Colbourn	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A2	1.2-1.4	2,600		E	32	Y	2	F	Travel/Background	Teen-Adult	9780435271817	N/A	N/A			1993	1993	N	
MMR2	Macmillan Publishing	Washington Square	Henry James	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	8,004		A	64	Y	4	F	Human Interest/Romance 	Teen-Adult	978-1-405-07255-7	N/A	9780230724624	N/A		2005	2005	Y	
MMR3	Macmillan Publishing	Black Cat, The	John Milne	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	8,230		A	64	Y	5	F	Human Interest/Adventure/Thriller/Spy	Teen-Adult	9780230029231	978-1-405-07638-8	9780230718555	9780230491472		2007	2007	Y	
MMR3	Macmillan Publishing	Brazil	Susan Holden	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	9,717		A	96	N	5	NF	Culture/Human Interest/History	Teen-Adult	9780230454187	9780230454194	9780230469938	9780230469952		2013	2,013	Y	
MMR3	Macmillan Publishing	Canterville Ghost and Other Stories, The	Oscar Wilde	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	8,853		A	64	Y	5	F	Short Stories/Humour/Mystery/Horror/Ghost/Crime/Detection	Teen-Adult	9780230030794	978-1-405-07640-1	9780230718579	9780230491069		2005	2005	Y	
MMR3	Macmillan Publishing	Christmas Carol, A	Charles Dickens	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	11,369		A	64	Y	5	F	Mystery/Horror/Ghost	Teen-Adult	978-1-405-07258-8	N/A	9780230437005	N/A		2010	2010	Y	
MMR3	Macmillan Publishing	Claws 	John Landon	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	11,059		A	64	Y	5	F	Mystery/Horror/Ghost/Adventure/Thriller/Spy	Teen-Adult	978-1-405-07259-5	N/A	9780230437036	N/A		2005	2005	Y	
MMR3	Macmillan Publishing	Dawson's Creek (1): The Beginning of Everything Else	Kevin Williamson	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	10,431		A	64	Y	5	F	Human Interest/Romance	Teen-Adult	9780230037380	978-1-405-07642-5	N/A	N/A		2005	2005	N	
MMR3	Macmillan Publishing	Dawson's Creek (2): Long Host Summer	K. S. Rodriguez	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	10,885		A	64	Y	5	F	Human Interest/Romance	Teen-Adult	9780230037397	978-1-405-07644-9	N/A	N/A		2005	2005	N	
MMR3	Macmillan Publishing	Dawson's Creek (3): Major Meltdown	K. S. Rodriguez	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	10,714		A	64	Y	5	F	Human Interest/Romance	Teen-Adult	9780230037403	978-1-405-07646-3	N/A	N/A		2008	2008	N	
MMR3	Macmillan Publishing	Dawson's Creek (4): Shifting into Overdrive	C. J. Anders	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	11,449		A	64	Y	5	F	Human Interest/Romance	Teen-Adult	9780230037410	978-1-405-07648-7	N/A	N/A		2005	2005	N	
MMR3	Macmillan Publishing	Don't Tell Me What to Do	Michael Hardcastle	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	10,117		A	64	Y	5	F	Romance/Crime/Detection/Adventure/Thriller/Spy	Teen	978-1-405-07264-9	N/A	N/A	N/A		2005	2005	Y	
MMR3	Macmillan Publishing	Dr Jekyll and Mr Hyde	Robert Louis Stevenson	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	9,340		A	64	Y	5	F	Mystery/Horror/Ghost	Teen-Adult	978-1-405-07265-6	N/A	9780230725720	N/A		2010	2010	Y	
MMR3	Macmillan Publishing	Escape and Other Stories, The	W. Somerset Maugham	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	7,699		A	64	Y	5	F	Short Stories/Human Interest/Romance/Crime/Detection/Adventure/Thriller/Spy	Teen-Adult	978-1-405-07266-3	N/A	N/A	N/A		2005	2005	Y	
MMR3	Macmillan Publishing	Frankenstein	Mary Shelley	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	6,879		A	64	Y	5	F	Mystery/Horror/Ghost	Teen-Adult	9780230030435	978-1-405-07650-0	9780230425385	9780230425408		2007	2007	Y	
MMR3	Macmillan Publishing	Hound of the Baskervilles, The	Sir Arthur Conan Doyle	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	8,901		A	64	Y	5	F	Mystery/Horror/Ghost/Crime/Detection	Teen-Adult	9780230029248	978-1-405-07652-4	9780230425668	9780230425682		2005	2005	Y	
MMR3	Macmillan Publishing	L. A. Winners	Philip Prowse	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	12,419		A	64	Y	5	F	Humour/Crime/Detection/Adventure/Thriller/Spy	Teen-Adult	9780230035102	978-1-405-07697-5	9780230724747	9780230491250		2008	2008	Y	
MMR3	Macmillan Publishing	Legends of Sleepy Hollow and Rip Van Winkle, The 	Washington Irving	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	11,802		A	64	Y	5	F	Short Stories/Mystery/Horror/Ghost/Human Interest/Romance	Teen-Adult	9780230035119	978-1-405-07654-8	9780230425705	9780230491564		2005	2005	Y	
MMR3	Macmillan Publishing	Lost World, The	Sir Arthur Conan Doyle	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	11,955		A	64	Y	5	F	Human Interest/Adventure/Thriller/Spy/Science Fiction/Fantasy	Teen-Adult	978-1-405-07271-7	N/A	9780230728639	N/A		2010	2010	Y	
MMR3	Macmillan Publishing	Love by Design	Kieran McGovern	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	9,410		A	64	Y	5	F	Romance/Crime/Detection	Teen-Adult	978-1-405-07272-4	N/A	9780230437333	N/A		2005	2005	Y	
MMR3	Macmillan Publishing	Mark of Zorro, The	Johnston McCulley	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	12,144		A	64	Y	5	F	Humour/Western/Romance/Adventure/Thriller/Spy	Teen-Adult	9780230029217	978-1-405-07699-9	N/A	N/A		2005	2005	Y	
MMR3	Macmillan Publishing	Phantom Airman, The	Allan Frewin Jones	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	11,444		A	64	Y	5	F	Mystery/Horror/Ghost/Crime/Detection	Teen 	9780230037434	978-1-405-07656-2	N/A	N/A		2005	2005	Y	
MMR3	Macmillan Publishing	Picture of Dorian Grey, The	Oscar Wilde	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	10,956		A	64	Y	5	F	Mystery/Horror/Ghost/Crime/Detection	Teen-Adult	9780230029224	978-1-405-07658-6	9780230718616	9780230491076		2007	2007	Y	
MMR3	Macmillan Publishing	Prince and the Pauper, The	Mark Twain, retold by Chris Rose	Macmillan Readers	Elementary		Intermediate (M)	Elementary- A2	2.8-3.2	11,537		A	88	N	5	F	History/Human Interest	Teen/Adult	9780230436329	9780230436343	9780230463158	9780230463196		2013	2013	Y	
MMR3	Macmillan Publishing	Princess Diaries 1, The	Meg Cabot	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	12,444		A	64	Y	5	F	Human Interest/Humour/Romance	Teen	9780230037472	978-1-405-08064-4	N/A	N/A		2008	2008	Y	
MMR3	Macmillan Publishing	Princess Diaries 2, The	Meg Cabot	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	11,355		A	64	Y	5	F	Human Interest/Humour/Romance	Teen	9780230037489	978-1-405-08066-8	N/A	N/A		2008	2008	Y	
MMR3	Macmillan Publishing	Promise, The	R. L. Scott-Buccleuch	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	10,176		A	64	Y	5	F	Human Interest/Romance	Teen-Adult	978-1-405-07277-9	N/A	9780230437357	N/A		2005	2005	Y	
MMR3	Macmillan Publishing	Quest, The	Mandy Loader	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	9,452		A	64	Y	5	F	Crime/Detection/Advenutre/Thriller/Spy	Teen-Adult	978-1-405-07283-0	N/A	N/A	N/A		2005	2005	Y	
MMR3	Macmillan Publishing	Room 13 and Other Ghost Stories	M. R. James	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	13,222		A	64	Y	5	F	Short Stories/Mystery/Horror/Ghost/Crime/Detection	Teen-Adult	9780230035126	978-1-405-07660-9	9780230725706	N/A		2005	2005	Y	
MMR3	Macmillan Publishing	Seven Stories of Mystery and Horror	Edgar Allan Poe	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	15,337		A	80	Y	5	F	Short Stories/Mystery/Horror/Ghost	Teen-Adult	97802300037465	978-1-405-07535-0	9780230725683	9780230491298		2005	2005	Y	
MMR3	Macmillan Publishing	Silver Blaze and Other Stories	Sir Arthur Conan Doyle	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	10,318		A	64	Y	5	F	Short Stories/Crime/Detection 	Teen-Adult	978-1-405-07279-3	N/A	9780230418172	N/A		2005	2005	Y	
MMR3	Macmillan Publishing	Stranger, The	Norman Whitney	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	7,195		A	64	Y	5	F	Mystery/Horror/Ghost/Romance	Teen-Adult	9780230035133	978-1-405-07662-3	9780230725843	9780230491243		2005	2005	Y	
MMR3	Macmillan Publishing	Tales of Horror	Bram Stoker	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	10,747		A	64	Y	5	F	Short Stories/Mystery/Horror/Ghost	Teen-Adult	9780230035140	978-1-405-07664-7	9780230725867	9780230491267		2008	2008	Y	
MMR3	Macmillan Publishing	Tales of Ten Worlds	Arthur C. Clarke	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	8,364		A	64	Y	5	F	Short Stories/Science Fiction/Fantasy	Teen-Adult	978-1-405-07282-3	N/A	N/A	N/A		2005	2005	Y	
MMR3	Macmillan Publishing	Treasure Island	Robert Louis Stevenson	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	9,863		A	64	Y	5	F	Human Interest/Adventure/Thriller/Spy	Teen-Adult	978-1-405-07284-7	N/A	9780230437500	N/A		2010	2010	Y	
MMR3	Macmillan Publishing	Unquiet Graves	Allan Frewin Jones	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	10,884		A	64	Y	5	F	Mystery/Horror/Ghost/Crime/Detection	Teen	9780230036994	978-1-405-07666-1	N/A	N/A		2008	2008	Y	
MMR3		Viking Tales	Chris Rose	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	11,078		E	72	N	5	F	Short Stories/Adventure	Teen-Adult	9780230460270	9780230460294	9780230474284	9780230491656		2014	2014	Y	
MMR3	Macmillan Publishing	White Fang	Jack London	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	12,656		A	72	Y	5	F	Adventure/Nature/Human Interest	Teen 	9780230034402	978-0-2300-2673-5	9780230723009	9780230491274		2008	2008	Y	LLLA WINNER 2009
MMR3	Macmillan Publishing	Woman in Black, The	Susan Hill	Macmillan Readers	Elementary	1,100	Intermediate (M)	Elementary- A2	2.8-3.2	11,226		A	64	Y	5	F	Mystery/Horror/Ghost/Romance	Teen-Adult	9780230037458	978-1-405-07701-9	N/A	N/A		2008	2008	Y	
MMR4	Macmillan Publishing	Call of the Wild	Jack London	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	13,000		E	80	Y	7	F	Adventure/Nature/Human Interest	Teen-Adult	9780230408401	9780230408715	9780230425347	9780230490741		2011	2011	Y	LLLA Finalist 2012
MMR4	Macmillan Publishing	Casino Royale	Ian Fleming	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	12,914		A	88	Y	7	F	Adventure/Thriller/Spy	Teen-Adult	9780230037496	978-1-4050-8744-5	N/A	N/A		2006	2006	Y	
MMR4	Macmillan Publishing	Daisy Miller	Henry James	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	15,460		A	88	Y	7	F	Human Interest/Romance/History	Teen-Adult	9780230035157	978-1-4050-8407-9	9780230722743	9780230491335		2010	2010	Y	
MMR4	Macmillan Publishing	Diamonds are Forever	Ian Fleming	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	17,794		A	96	Y	7	F	Adventure/Romance/Thriller	Teen-Adult	9780230716605	978-0-2307-1662-9	N/A	N/A		2009	2009	Y	
MMR4	Macmillan Publishing	England	Rachel Bladon	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	14,568		A	96	N	7	NF	Culture/Human Interest/History	Teen/Adult	9780230436374	9780230436428	9780230463172	9780230490871		2013	2013	Y	
MMR4	Macmillan Publishing	Far from the Madding Crowd	Thomas Hardy	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	18,650		A	96	Y	7	F	Romance/History/Human Interest	Teen-Adult	9780230030527	978-1-4050-8709-4	9780230723078	9780230491120		2006	2006	Y	
MMR4	Macmillan Publishing	Gandhi	Rachel Bladon	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	22,689		A	88	Y	7	NF	History/Human Interest	Teen-Adult	9780230408388	9780230408692	9780230425422	9780230491595		2011	2011	Y	
MMR4	Macmillan Publishing	Heidi	Johanna Spyri	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	15,198		A	86	Y	7	F	Adventure/Human Interest	Teen 	9780230034419	978-0-2300-2679-7	9780230722804	9780230491359		2008	2008	Y	
MMR4	Macmillan Publishing	I, Robot	Isaac Asimov	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	18,446		A	96	Y	7	F	Science Fiction/Thriller	Teen 	9780230034433	978-0-2300-2682-7	9780230718470	N/A		2008	2008	Y	
MMR4		Invisible Man, The	H. Wells; N. Bullard	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	16,686		E	88	N	7	F	Horror/mystery/Science Fiction	Teen-Adult	9780230460324	9780230460331	N/A	N/A		2014	2014	Y	
MMR4		Italy	Coleen Degnan-Veness	Macmillan Readers	     Pre-intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	16,140		A	96		7	NF	Cultural/Human Interest/History	Teen-Adult	9780230470156	9780230470163	N/A	N/A		2015	2015	Y	
MMR4	Macmillan Publishing	Kick-off! The Story of Football	Patrick Adams	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	16,794		A	96	Y	7	NF	Sport/History/Human Interest	Teen/Adult	9780230400498	978-0-2304-0050-4	N/A	9780230417199		2010	2010	Y	
MMR4	Macmillan Publishing	Michael Jackson: The King of Pop	Carl W Hart	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	15,786		A	88	Y	7	NF	Music/History/Human Interest	Teen-Adult	9780230406315	978-0-2304-0629-2	9780230425507	9780230491588		2010	2010	Y	
MMR4	Macmillan Publishing	Midsummer Night’s Dream, A	William Shakespeare	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	12,401		A	80	Y	7	F	Romance/Humour	Teen-Adult	978-1-4050-8727-8	N/A	9780230722682	N/A		2010	2010	Y	
MMR4	Macmillan Publishing	Nelson Mandela	Carl W Hart	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	12,904		A	80	Y	7	NF	History/Human Interest	Teen	9780230716575	978-0-2307-1659-9	9780230416338	9780230491465		2010	2010	Y	
MMR4	Macmillan Publishing	Owl Creek Bridge and Other Stories	Ambrose Bierce	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	15,042		A	88	Y	7	F	Short Stories/Mystery/Horror/Ghost/History/Politics	Teen-Adult	9780230035171	978-1-4050-8741-4	9780230723115	9780230491304		2008	2008	Y	
MMR4	Macmillan Education	Owl Hall	Robert Campbell and Lindsay Clandfield	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-Intermediate -A2-B1	3.4-3.6	16,681		E	88	N	7	F	Human Interest/Mystery/Ghost	Teen-Adult	9780230422810	9780230422834	9780230441217	9780230490758		1905	1905	Y	LLLA FINALIST 2013
MMR4	Macmillan Publishing	Persuasion	Jane Austen	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	22,922		A	96	Y	7	F	Romance/Human Interest/History	Teen-Adult	9780230735125	9780230735132	9780230425583	9780230491618		2011	2011	Y	
MMR4	Macmillan Publishing	Princess Diaries 3, The	Meg Cabot	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	14,679		A	88	Y	7	F	Human Interest/Humour/Romance	Teen	9780230037502	978-1-4050-8717-9	N/A	N/A		2006	2006	N	
MMR4	Macmillan Publishing	Princess Diaries 4, The	Meg Cabot	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	14,393		A	88	Y	7	F	Human Interest/Humour/Romance	Teen 	9780230037159	978-1-4050-8720-9	N/A	N/A		2008	2008	N	
MMR4	Macmillan Publishing	Robin Hood	Stephen Colbourn	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	13,716		A	88	Y	7	F	Romance/History/Myth	Teen 	9780230030497	978-1-4050-8723-0	9780230718517	9780230491113		2007	2007	Y	
MMR4	Macmillan Publishing	Robinson Crusoe	Daniel Defoe	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	17,241		A	80	Y	7	F	Adventure/History	Pre-teen/Teen 	9780230716544	978-0-2307-1656-8	9780230416468	9780230491434		2009	2009	Y	
MMR4	Macmillan Publishing	Romeo & Juliet	William Shakespeare	Macmillan Readers	Pre-Intermediate	1,400	Intermediate (H)	Pre-intermediate - A2-B1	3.4-3.6	15,606		A	88	N	7	F	Romance/Human Interest/History	Teen-Adult	978-1-4050-8730-8	N/A	9780230722880	N/A		2006	2006	Y	
