Extensive Reading Foundation Graded Reader List			Author(s)*っｙ																								
Pearson ELT					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)*っｙ	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
PEK2	Pearson	Tropical Island Adventure		Pearson English Kids Readers	2	400	Elementary (E)		0.6	272		A	16	Y	0			Kids, Teen	9781447979975		0		-	2014	2014	Y	American English; free MP3 downloads for teachers & parents
PEK3	Pearson	Butterflies and Frogs		Pearson English Kids Readers (CLIL)	3	600	Elementary (M)		0.8	747		A	24	Y	1				9781408288337	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK3	Pearson	Festival Fun		Pearson English Kids Readers (CLIL)	3	600	Elementary (M)		0.8	710		A	24	Y	1				9781408288146	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK3	Pearson	Space Island Adventure	Nicola Schofield	Pearson English Kids Readers	3	600 	Elementary (M)		0.8	718 		A	24	Y	1		ODI	Kids, Teen	9781408288351	-				2014	2014	Y	free MP3 downloads for teachers & parents
PEK3	Pearson	Sport with Trainer Tim		Pearson English Kids Readers (CLIL)	3	600	Elementary (M)		0.8	769 		A	24	Y	1				9781408288313	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK3	Pearson	Up In The Air		Pearson English Kids Readers (CLIL)	3	600	Elementary (M)		0.8	705		A	24	Y	1				9781408288320	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK4	Pearson	Animal Athletes		Pearson English Kids Readers (CLIL)	4	800	Elementary (H)		1.2	1,117		A	24	Y	1				9781408288382	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK4	Pearson	Brain Gym		Pearson English Kids Readers (CLIL)	4	800	Elementary (H)		1.2	950 		A	24	Y	1				9781408288153	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK4	Pearson	Movie Studio Island Adventure		Pearson English Kids Readers	4	800	Elementary (H)		1.2	1123	0	A	24	Y	0	0		Kids, Teen	9781447971382	0	0		-	2014	2014	Y	American English; free MP3 downloads for teachers & parents
PEK5	Pearson	Harry's Clothes Project		Pearson English Kids Readers (CLIL)	5	1000	Intermediate (E)		1.6	1,997 		A	32	Y	2				9781408288412	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK5	Pearson	Ice Island Adventure		Pearson English Kids Readers	5	1000	Intermediate (E)		1.6	2,159 		A	32	Y	2		ODI	Kids, Teen	9781408288443	-				2014	2014	N	free MP3 downloads for teachers & parents
PEK5	Pearson	Island Hopping		Pearson English Kids Readers (CLIL)	5	1000	Intermediate (E)		1.6	2,036 		A	32	Y	2				9781408288436	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK6	Pearson	Animal Camouflage		Pearson English Kids Readers (CLIL)	6	1200	Intermediate (M)		2.2	3,286 		A	40	Y	3				9781408288481	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK6	Pearson	Future Island Adventure		Pearson English Kids Readers	6	1200	Intermediate (M)		2.2	3,484 		A	32	Y	3		ODI	Kids, Teen	9781408288498	-				2014	2014	N	free MP3 downloads for teachers & parents
PEK6	Pearson	Our Changing Planet		Pearson English Kids Readers (CLIL)	6	1200	Intermediate (M)		2.2	3,428 		A	40	Y	3				9781408288467	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK6	Pearson	World Of Homes, A		Pearson English Kids Readers (CLIL)	6	1200	Intermediate (M)		2.2	3,153 		A	40	Y	3				9781408288160	-				2013	2013	Y	free MP3 downloads for teachers & parents
PERX0	Pearson	Between Two Worlds	Rabley, Stephen	Pearson English Readers	Easystarts	200 	Beginner (M)	A1	0.8-0.9	933 		A	20	Y	1		Original	teen, adult	9781405869430	9781405880534				2008	2008	Y	
PERX0	Pearson	Big Bag Mistake, The	Escott, John	Pearson English Readers	Easystarts	200 	Beginner (M)	A1	0.8	806 		A	20	Y	1		Original	teen, adult	9781405876704	9781405880541				2008	2008	Y	
PERX0	Pearson	Billy and the Queen	Rabley, Stephen	Pearson English Readers	Easystarts	200	Beginner (M)	A1	0.8	1065		A	20	Y	1		Original	teen, adult	9781405869447	9781405880558				2008	2008	Y	
PERX0	Pearson	Fireboy, The	Rabley, Stephen	Pearson English Readers	Easystarts	200 	Beginner (M)	A1	0.8	967 		A	20	Y	1		Original	teen, adult	9781405869577	9781405880572				2008	2008	Y	
PERX0	Pearson	Last Photo, The	Smith, Bernard	Pearson English Readers	Easystarts	200 	Beginner (M)	A1	0.8	800 		A	20	Y	1		Original	teen, adult	9781405869591	9781405880602				2008	2008	Y	
PERX0	Pearson	Lucky Break, The	Escott, John	Pearson English Readers	Easystarts	200 	Beginner (M)	A1	0.8	720 		A	20	Y	1		Original	teen, adult	9781405876711	9781405880626				2008	2008	Y	
PERX0	Pearson	Maisie and the Dolphin	Rabley, Stephen	Pearson English Readers	Easystarts	200 	Beginner (M)	A1	0.8	973 		A	20	Y	1		Original	teen, adult	9781405869546	9781405880633				2008	2008	Y	
