Extensive Reading Foundation Graded Reader List																											
Oxford U. Press					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (book only,  no CD/CD-ROM)	ISBN B (with audio CD) (Dominoes & Classic Tales w/ CD/CD-ROM) 	ISBN C (wtih MP3 CD)	ISBN D (eBook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
OBW1	Oxford U. Press	Aladdin and the Enchanted Lamp	Retold by Judith Dean	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,240 		A		Y	4 	F	Fantasy and Horror	Age 9/10+ up to adult	978 0 19 4789011	9780194788694	9780194620437			2008		Y	Audio-BrE
OBW1F	Oxford U. Press	Animals in Danger	Andy Hopkins and Joc Potter	Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,140 		A		Y	4 	NF	Factfiles	Age 9/10+ up to adult	978 0 19 4233798	978 0 19 4235761	9780194620567			2008		Y	Audio-BrE
OBW1		47 Ronin	Jennifer Bassett	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	6,079 		A			4 	F			9780194786126	9780194786041	9780194620383				2014	Y	Audio-BrE
OBW1		Boy-King,The, Tutankhamun	Scot Lauder and Walter McGregor	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,200 		A			4 				9780194209328		9780194620598				2016	Y	Audio-BrE
OBW1F		Brazil	Nick Bullard	Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	4,951 		A			4 	NF	Factiles		9780194237949	9780194237925	9780194637541				2015	Y	Audio-BrE
OBW1	Oxford U. Press	Bridge and Other Love Stories, The	Christine Lindop	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,605 		A		Y	4 	F	Human Interest	teen & adult	9780194793681	978 0 19 4793667	9780194637350			2011		Y	Audio-BrE
OBW1P	Oxford U. Press	Butler Did It and Other Plays, The	Bill Bowler, Retold by Clare West	Oxford Bookworms Library: Playscripts	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,925 		A		Y	4 	F	Playscripts	teen & adult	978 0 19 4235358	978 0 19 423511 2	9780194637480			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Christmas in Prague	Joyce Hannam	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	4,720 		A		Y	4 	F	Human Interest	teen & adult	978 0 19 4789028	978 0 19 478870 0	9780194620444			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Coldest Place on Earth, The	Tim Vicary	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,500 		A		Y	4 	NF	True Stories	teen & adult	978 0 19 4789035	9780194788717	9780194620451			2008		Y	Audio-BrE
OBW1F	Oxford U. Press	Deserts	Janet Hardy-Gould	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,519 		A		Y	4 	NF	Factfiles	Age 9/10+ up to adult	978 0 19 4236270	9780194236300	9780194637305			2009		Y	Audio-BrE
OBW1F	Oxford U. Press	Diana, Princess of Wales		Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	3,200 		E		Y	4 	NF	Factfiles	Age 9/10+ up to adult								N	
OBW1	Oxford U. Press	Elephant Man, The	Tim Vicary	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,400 		A		Y	4 	NF	True Stories	Age 9/10+ up to adult	978 0 19 4789042	9780194788724	9780194789059			2008		Y	Audio-BrE
OBW1F	Oxford U. Press	England	John Escott	Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	4,640 		A		Y	4 	NF	Factfiles	Age 9/10+ up to adult	978 0 19 4233804	978 0 19 423578 5	9780194620406			2008		Y	Audio-BrE
OBW1P	Oxford U. Press	Five Short Plays	Martyn Ford	Oxford Bookworms Library: Playscripts	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	4,828 		A		Y	4 	F	Playscripts	teen & adult	978 0 19 4235006	978 0 19 423512 9 	9780194637374			2008		Y	Audio-BrE
